day,susceptible,infected,recovered,new_infections,hospitalized,hospital_occupancy,patients_turned_away,healthcare_utilization,system_overloaded
0,9990,10,0,2,36,36,0,9.0,False
1,9988,11,1,3,36,36,0,9.0,False
2,9985,13,2,3,36,36,0,9.0,False
3,9982,15,3,4,36,36,0,9.0,False
4,9978,18,4,5,36,36,0,9.0,False
5,9973,22,5,6,36,36,0,9.0,False
6,9967,26,7,7,36,36,0,9.0,False
7,9960,31,9,9,36,36,0,9.0,False
8,9951,37,12,11,36,36,0,9.0,False
9,9940,45,15,13,36,36,0,9.0,False
10,9927,54,19,16,36,36,0,9.0,False
11,9911,65,24,19,36,36,0,9.0,False
12,9892,78,30,23,36,36,0,9.0,False
13,9869,94,37,27,36,36,0,9.0,False
14,9842,112,46,33,36,36,0,9.0,False
15,9809,134,57,39,36,36,0,9.0,False
16,9770,160,70,46,37,37,0,9.25,False
17,9724,190,86,55,39,39,0,9.75,False
18,9669,226,105,65,41,41,0,10.25,False
19,9604,269,127,77,44,44,0,11.0,False
20,9527,320,153,91,47,47,0,11.75,False
21,9436,379,185,107,52,52,0,13.0,False
22,9329,449,222,125,58,58,0,14.499999999999998,False
23,9204,530,266,146,65,65,0,16.25,False
24,9058,623,319,169,74,74,0,18.5,False
25,8889,730,381,194,85,85,0,21.25,False
26,8695,851,454,221,98,98,0,24.5,False
27,8474,987,539,250,112,112,0,28.000000000000004,False
28,8224,1139,637,281,126,126,0,31.5,False
29,7943,1307,750,311,143,143,0,35.75,False
30,7632,1488,880,340,161,161,0,40.25,False
31,7292,1680,1028,367,179,179,0,44.75,False
32,6925,1879,1196,390,197,197,0,49.25,False
33,6535,2082,1383,408,215,215,1,53.75,False
34,6127,2282,1591,419,232,232,2,57.99999999999999,False
35,5708,2473,1819,423,247,247,2,61.75000000000001,False
36,5285,2649,2066,419,260,260,2,65.0,False
37,4866,2804,2330,409,266,266,6,66.5,False
38,4457,2933,2610,392,270,270,6,67.5,False
39,4065,3032,2903,369,272,272,5,68.0,False
40,3696,3098,3206,343,273,273,4,68.25,False
41,3353,3132,3515,315,273,273,2,68.25,False
42,3038,3134,3828,285,271,271,0,67.75,False
43,2753,3106,4141,256,268,268,0,67.0,False
44,2497,3052,4451,228,263,263,0,65.75,False
45,2269,2975,4756,202,257,257,0,64.25,False
46,2067,2880,5053,178,248,248,0,62.0,False
47,1889,2770,5341,156,238,238,0,59.5,False
48,1733,2649,5618,137,229,229,0,57.25,False
49,1596,2522,5882,120,218,218,0,54.50000000000001,False
50,1476,2390,6134,105,206,206,0,51.5,False
51,1371,2256,6373,92,194,194,0,48.5,False
52,1279,2123,6598,81,182,182,0,45.5,False
53,1198,1992,6810,71,171,171,0,42.75,False
54,1127,1864,7009,63,161,161,0,40.25,False
55,1064,1741,7195,55,151,151,0,37.75,False
56,1009,1622,7369,49,141,141,0,35.25,False
57,960,1509,7531,43,131,131,0,32.75,False
58,917,1402,7681,38,122,122,0,30.5,False
59,879,1300,7821,34,113,113,0,28.249999999999996,False
60,845,1204,7951,30,105,105,0,26.25,False
61,815,1114,8071,27,97,97,0,24.25,False
62,788,1030,8182,24,90,90,0,22.5,False
63,764,951,8285,21,84,84,0,21.0,False
64,743,877,8380,19,77,77,0,19.25,False
65,724,809,8467,17,72,72,0,18.0,False
66,707,746,8547,15,67,67,0,16.75,False
67,692,687,8621,14,62,62,0,15.5,False
68,678,633,8689,12,59,59,0,14.75,False
69,666,582,8752,11,56,56,0,14.000000000000002,False
70,655,535,8810,10,53,53,0,13.25,False
71,645,492,8863,9,50,50,0,12.5,False
72,636,452,8912,8,47,47,0,11.75,False
73,628,415,8957,7,45,45,0,11.25,False
74,621,381,8998,7,44,44,0,11.0,False
75,614,350,9036,6,43,43,0,10.75,False
76,608,321,9071,5,42,42,0,10.5,False
77,603,294,9103,5,41,41,0,10.25,False
78,598,270,9132,4,40,40,0,10.0,False
79,594,247,9159,4,39,39,0,9.75,False
80,590,227,9183,4,38,38,0,9.5,False
81,586,209,9205,3,37,37,0,9.25,False
82,583,192,9225,3,36,36,0,9.0,False
83,580,176,9244,3,36,36,0,9.0,False
84,577,162,9261,2,36,36,0,9.0,False
85,575,148,9277,2,36,36,0,9.0,False
86,573,136,9291,2,36,36,0,9.0,False
87,571,125,9304,2,36,36,0,9.0,False
88,569,115,9316,1,36,36,0,9.0,False
89,568,105,9327,1,36,36,0,9.0,False
90,567,96,9337,1,36,36,0,9.0,False
91,566,88,9346,1,36,36,0,9.0,False
92,565,81,9354,1,36,36,0,9.0,False
93,564,74,9362,1,36,36,0,9.0,False
94,563,68,9369,1,36,36,0,9.0,False
95,562,63,9375,1,36,36,0,9.0,False
96,561,58,9381,0,36,36,0,9.0,False
97,561,53,9386,0,36,36,0,9.0,False
98,561,48,9391,0,36,36,0,9.0,False
99,561,44,9395,0,36,36,0,9.0,False
100,561,40,9399,0,36,36,0,9.0,False
